RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,Y61,QH8,BASILDON HOSPITAL,NETHERMAYNE,,BASILDON,,SS16 5NL,19920401,,,,,,,,,,,0,,G
RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,Y61,QJG,COLCHESTER DIST GENERAL HOSPITAL,TURNER ROAD,,COLCHESTER,,CO4 5JL,19920401,,,,,,,,,,,0,,G
RDR,SUSSEX COMMUNITY NHS FOUNDATION TRUST,Y59,QNX,BRIGHTON GENERAL HOSPITAL,ELM GROVE,,BRIGHTON,,BN2 3EW,19920401,,,,,,,,,,,0,,J
RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,Y59,QNQ,PORTSMOUTH ROAD,FRIMLEY,,CAMBERLEY,,GU16 7UJ,19920401,,,,,,,,,,,0,,J
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,Y58,QVV,SENTINEL HOUSE,4-6 NUFFIELD ROAD,NUFFIELD INDUSTRIAL ESTATE,POOLE,,BH17 0RB,19920401,,,,,,,,,,,0,,K
RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,Y58,QVV,ROYAL BOURNEMOUTH GENERAL HOSPITAL,CASTLE LANE EAST,,BOURNEMOUTH,,BH7 7DW,19920401,20200930,,,,,,,,,,0,,K
REF,ROYAL CORNWALL HOSPITALS NHS TRUST,Y58,QT6,ROYAL CORNWALL HOSPITAL,TRELISKE,,TRURO,,TR1 3LJ,19920401,,,,,,,,,,,0,,K
REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,Y62,QYG,ROYAL LIVERPOOL UNIVERSITY HOSPITAL,PRESCOT STREET,,LIVERPOOL,,L7 8XP,19920401,,,,,,,,,,,0,,B
REN,THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,Y62,QYG,CLATTERBRIDGE HOSPITAL,CLATTERBRIDGE ROAD,BEBINGTON,WIRRAL,,CH63 4JY,19920401,,,,,,,,,,,0,,B
REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,Y62,QYG,LIVERPOOL WOMENS HOSPITAL,CROWN STREET,,LIVERPOOL,,L8 7SS,19920401,,,,,,,,,,,0,,B
RET,THE WALTON CENTRE NHS FOUNDATION TRUST,Y62,QYG,LOWER LANE,,,LIVERPOOL,,L9 7LJ,19920401,,,,,,,,,,,0,,B
RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",Y56,QMF,QUEENS HOSPITAL,ROM VALLEY WAY,,ROMFORD,,RM7 0AG,20010401,,,,,,,,,,,0,,H
RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,Y63,QF7,GAWBER ROAD,,,BARNSLEY,,S75 2EP,19930401,,,,,,,,,,,0,,D
RFR,THE ROTHERHAM NHS FOUNDATION TRUST,Y63,QF7,MOORGATE ROAD,,,ROTHERHAM,,S60 2UD,19930401,,,,,,,,,,,0,,D
RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,Y60,QJ2,CHESTERFIELD ROAD,CALOW,,CHESTERFIELD,,S44 5BL,19930401,,,,,,,,,,,0,,E
RGD,LEEDS AND YORK PARTNERSHIP NHS FOUNDATION TRUST,Y63,QWO,2150 CENTURY WAY,THORPE PARK,,LEEDS,,LS15 8ZB,19930401,,,,,,,,,,,0,,D
RGM,ROYAL PAPWORTH HOSPITAL NHS FOUNDATION TRUST,Y61,QUE,PAPWORTH ROAD,CAMBRIDGE BIOMEDICAL CAMPUS,,CAMBRIDGE,,CB2 0AY,19930401,,,,,,,,,,,0,,G
RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,Y61,QUE,PETERBOROUGH CITY HOSPITAL,BRETTON GATE,BRETTON,PETERBOROUGH,,PE3 9GZ,19930401,,,,,,,,,,,0,,G
RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,Y61,QMM,LOWESTOFT ROAD,GORLESTON,,GREAT YARMOUTH,,NR31 6LA,19930401,,,,,,,,,,,0,,G
RGR,WEST SUFFOLK NHS FOUNDATION TRUST,Y61,QJG,WEST SUFFOLK HOSPITAL,HARDWICK LANE,,BURY ST. EDMUNDS,,IP33 2QZ,19930401,,,,,,,,,,,0,,G
RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,Y61,QUE,CAMBRIDGE BIOMEDICAL CAMPUS,HILLS ROAD,,CAMBRIDGE,,CB2 0QQ,19930401,,,,,,,,,,,0,,G
RH5,SOMERSET NHS FOUNDATION TRUST,Y58,QSL,TRUST MANAGEMENT,LYDEARD HOUSE,MUSGROVE PARK HOSPITAL,TAUNTON,,TA1 5DA,19930401,,,,,,,,,,,0,,K
RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,Y58,QJK,ROYAL DEVON & EXETER HOSPITAL,BARRACK ROAD,,EXETER,,EX2 5DW,19930401,,,,,,,,,,,0,,K
RHA,NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST,Y60,QT1,"THE RESOURCE, TRUST HQ",DUNCAN MACMILLAN HOUSE,PORCHESTER ROAD,NOTTINGHAM,,NG3 6AA,20010401,,,,,,,,,,,0,,E
RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,Y59,QRL,SOUTHAMPTON GENERAL HOSPITAL,TREMONA ROAD,,SOUTHAMPTON,,SO16 6YD,19930401,,,,,,,,,,,0,,J
RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,Y63,QF7,NORTHERN GENERAL HOSPITAL,HERRIES ROAD,,SHEFFIELD,,S5 7AU,20010401,,,,,,,,,,,0,,D
RHU,PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST,Y59,QRL,QUEEN ALEXANDRA HOSPITAL,SOUTHWICK HILL ROAD,COSHAM,PORTSMOUTH,,PO6 3LY,19930401,,,,,,,,,,,1,,J
RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,Y59,QU9,ROYAL BERKSHIRE HOSPITAL,LONDON ROAD,,READING,,RG1 5AN,19930401,,,,,,,,,,,0,,J
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,Y56,QKK,ST THOMAS' HOSPITAL,WESTMINSTER BRIDGE ROAD,,LONDON,,SE1 7EH,19930401,,,,,,,,,,,0,,H
RJ2,LEWISHAM AND GREENWICH NHS TRUST,Y56,QKK,UNIVERSITY HOSPITAL LEWISHAM,LEWISHAM HIGH STREET,,LONDON,,SE13 6LH,19930401,,,,,,,,,,,0,,H
RJ6,CROYDON HEALTH SERVICES NHS TRUST,Y56,QWE,CROYDON UNIVERSITY HOSPITAL,530 LONDON ROAD,,THORNTON HEATH,,CR7 7YE,19930401,,,,,,,,,,,0,,H
RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,Y56,QWE,ST GEORGE'S HOSPITAL,BLACKSHAW ROAD,TOOTING,LONDON,,SW17 0QT,19930401,,,,,,,,,,,0,,H
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,Y58,QT6,CAREW HOUSE,BEACON TECHNOLOGY PARK,DUNMERE ROAD,BODMIN,CORNWALL,PL31 2QN,19930401,,,,,,,,,,,0,,K
RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,Y60,QWU,WARWICK HOSPITAL,LAKIN ROAD,,WARWICK,,CV34 5BW,19930401,,,,,,,,,,,0,,F
RJD,MID STAFFORDSHIRE NHS FOUNDATION TRUST,Y60,QNC,STAFFORD HOSPITAL,WESTON ROAD,,STAFFORD,STAFFORDSHIRE,ST16 3SA,19930401,,,,,,,,,,,0,,F
RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,Y60,QNC,NEWCASTLE ROAD,,,STOKE-ON-TRENT,,ST4 6QG,19930401,,,,,,,,,,,0,,F
RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,Y63,QOQ,DIANA PRINCESS OF WALES HOSPITAL,SCARTHO ROAD,,GRIMSBY,,DN33 2BA,20010401,,,,,,,,,,,0,,D
RJN,EAST CHESHIRE NHS TRUST,Y62,QYG,MACCLESFIELD DISTRICT HOSPITAL,VICTORIA ROAD,,MACCLESFIELD,,SK10 3BL,19930401,,,,,,,,,,,0,,B
RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,Y62,QYG,COUNTESS OF CHESTER HEALTH PARK,LIVERPOOL ROAD,,CHESTER,,CH2 1UL,19930401,,,,,,,,,,,0,,B
RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,Y56,QKK,DENMARK HILL,,,LONDON,,SE5 9RS,19930401,,,,,,,,,,,0,,H
RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,Y60,QT1,KINGS MILL HOSPITAL,MANSFIELD ROAD,,SUTTON-IN-ASHFIELD,,NG17 4JL,19940401,,,,,,,,,,,0,,E
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,Y58,QJK,DERRIFORD HOSPITAL,DERRIFORD ROAD,DERRIFORD,PLYMOUTH,,PL6 8DH,19940401,,,,,,,,,,,0,,K
RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,Y60,QWU,WALSGRAVE GENERAL HOSPITAL,CLIFFORD BRIDGE ROAD,,COVENTRY,,CV2 2DX,19930401,,,,,,,,,,,0,,F
RKE,WHITTINGTON HEALTH NHS TRUST,Y56,QMJ,THE WHITTINGTON HOSPITAL,MAGDALA AVENUE,,LONDON,,N19 5NF,19930401,,,,,,,,,,,0,,H
RKL,WEST LONDON NHS TRUST,Y56,QRV,1 ARMSTRONG WAY,,,SOUTHALL,,UB2 4SD,20010401,,,,,,,,,,,0,,H
RL1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,Y60,QOC,GOBOWEN,,,OSWESTRY,,SY10 7AG,19940401,,,,,,,,,,,0,,F
RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,Y60,QUA,NEW CROSS HOSPITAL,WOLVERHAMPTON ROAD,HEATH TOWN,WOLVERHAMPTON,,WV10 0QP,19940401,,,,,,,,,,,0,,F
RLQ,WYE VALLEY NHS TRUST,Y60,QGH,COUNTY HOSPITAL,27 UNION WALK,,HEREFORD,,HR1 2ER,19940401,,,,,,,,,,,0,,F
RLT,GEORGE ELIOT HOSPITAL NHS TRUST,Y60,QWU,LEWES HOUSE,COLLEGE STREET,,NUNEATON,,CV10 7DJ,19940401,,,,,,,,,,,0,,F
RLY,NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST,Y60,QNC,LAWTON HOUSE,BELLRINGER ROAD,TRENTHAM,STOKE-ON-TRENT,,ST4 8HH,19940401,,,,,,,,,,,0,,F
RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,Y61,QMM,COLNEY LANE,COLNEY,,NORWICH,,NR4 7UY,19940401,,,,,,,,,,,0,,G
RM3,SALFORD ROYAL NHS FOUNDATION TRUST,Y62,QOP,SALFORD ROYAL,STOTT LANE,,SALFORD,GREATER MANCHESTER,M6 8HD,19940401,,,,,,,,,,,0,,B
RMC,BOLTON NHS FOUNDATION TRUST,Y62,QOP,THE ROYAL BOLTON HOSPITAL,MINERVA ROAD,FARNWORTH,BOLTON,,BL4 0JR,19940401,,,,,,,,,,,0,,B
RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,Y62,QOP,TAMESIDE GENERAL HOSPITAL,FOUNTAIN STREET,,ASHTON-UNDER-LYNE,,OL6 9RW,19940401,,,,,,,,,,,0,,B
RMY,NORFOLK AND SUFFOLK NHS FOUNDATION TRUST,Y61,QMM,HELLESDON HOSPITAL,DRAYTON HIGH ROAD,,NORWICH,NORFOLK,NR6 5BE,19940401,,,,,,,,,,,0,,G
RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,Y58,QOX,GREAT WESTERN HOSPITAL,MARLBOROUGH ROAD,,SWINDON,,SN3 6BB,19940401,,,,,,,,,,,0,,K
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,Y59,QRL,BASINGSTOKE AND NORTH HAMPSHIRE HOS,ALDERMASTON ROAD,,BASINGSTOKE,HAMPSHIRE,RG24 9NA,19940401,,,,,,,,,,,0,,J
RN7,DARTFORD AND GRAVESHAM NHS TRUST,Y59,QKS,DARENT VALLEY HOSPITAL,DARENTH WOOD ROAD,,DARTFORD,,DA2 8DA,19940401,,,,,,,,,,,0,,J
RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,Y60,QUA,RUSSELLS HALL HOSPITAL,PENSNETT ROAD,,DUDLEY,,DY1 2HQ,19940401,,,,,,,,,,,0,,F
RNK,TAVISTOCK AND PORTMAN NHS FOUNDATION TRUST,Y56,QMJ,THE TAVISTOCK CENTRE,120 BELSIZE LANE,,LONDON,,NW3 5BA,19940401,,,,,,,,,,,0,,H
RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,Y63,Q74,CUMBERLAND INFIRMARY,NEWTOWN ROAD,,CARLISLE,CUMBRIA,CA2 7HY,20010401,20190930,,,,,,,,,,0,,A
RNN,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,Y63,QHM,VOREDA HOUSE,PORTLAND PLACE,,PENRITH,,CA11 7BF,20010401,,,,,,,,,,,0,,A
RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,Y60,QPM,ROTHWELL ROAD,,,KETTERING,,NN16 8UZ,19940401,,,,,,,,,,,0,,E
RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,Y60,QPM,CLIFTONVILLE,,,NORTHAMPTON,,NN1 5BD,19940401,,,,,,,,,,,0,,E
RNU,OXFORD HEALTH NHS FOUNDATION TRUST,Y59,QU9,WARNEFORD HOSPITAL,WARNEFORD LANE,HEADINGTON,OXFORD,,OX3 7JX,19940401,,,,,,,,,,,0,,J
RNZ,SALISBURY NHS FOUNDATION TRUST,Y58,QOX,SALISBURY DISTRICT HOSPITAL,ODSTOCK ROAD,,SALISBURY,,SP2 8BJ,19940401,,,,,,,,,,,0,,K
RP1,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,Y60,QPM,ST MARYS HOSPITAL,77 LONDON ROAD,,KETTERING,,NN15 7PW,20010401,,,,,,,,,,,0,,E
RP4,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,Y56,QMJ,GREAT ORMOND STREET,,,LONDON,,WC1N 3JH,19940401,,,,,,,,,,,0,,H
RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,Y63,QF7,DONCASTER ROYAL INFIRMARY,ARMTHORPE ROAD,,DONCASTER,,DN2 5LT,20010401,,,,,,,,,,,0,,D
RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,Y56,QMJ,162 CITY ROAD,,,LONDON,,EC1V 2PD,19940401,,,,,,,,,,,0,,H
RP7,LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST,Y60,QJM,ST GEORGE'S,LONG LEYS ROAD,,LINCOLN,,LN1 1FS,20010401,,,,,,,,,,,0,,E
RPA,MEDWAY NHS FOUNDATION TRUST,Y59,QKS,MEDWAY MARITIME HOSPITAL,WINDMILL ROAD,,GILLINGHAM,,ME7 5NY,19940401,,,,,,,,,,,0,,J
RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,Y59,QNX,HOLTYE ROAD,,,EAST GRINSTEAD,,RH19 3DZ,19940401,,,,,,,,,,,0,,J
RPG,OXLEAS NHS FOUNDATION TRUST,Y59,QKS,PINEWOOD HOUSE,PINEWOOD PLACE,,DARTFORD,,DA2 7WG,19940401,,,,,,,,,,,0,,J
RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST,Y56,QRV,FULHAM ROAD,,,LONDON,GREATER LONDON,SW3 6JJ,19940401,,,,,,,,,,,0,,H
RQ3,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,Y60,QHL,STEELHOUSE LANE,,,BIRMINGHAM,WEST MIDLANDS,B4 6NH,19950401,,,,,,,,,,,0,,F
RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,Y62,Q75,ROYAL LIVERPOOL UNIVERSITY HOSPITAL,PRESCOT STREET,,LIVERPOOL,,L7 8XP,19950401,20190930,,,,,,,,,,0,,B
RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,Y61,QH8,BROOMFIELD HOSPITAL,COURT ROAD,,CHELMSFORD,,CM1 7ET,19950401,,,,,,,,,,,0,,G
RQF,VELINDRE NHS TRUST,W00,Q99,UNIT 2,CHARNWOOD COURT,HEOL BILLINGSLEY,CARDIFF,,CF15 7QZ,19940401,,,,,,,,,,,0,,W
RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,Y56,QRV,CHELSEA & WESTMINSTER HOSPITAL,369 FULHAM ROAD,,LONDON,,SW10 9NH,19940401,,,,,,,,,,,0,,H
RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,Y61,QM7,HAMSTEL ROAD,,,HARLOW,,CM20 1QX,19950401,,,,,,,,,,,0,,G
RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,Y56,QMF,HOMERTON ROW,,,LONDON,,E9 6SR,19950401,,,,,,,,,,,0,,H
RQY,SOUTH WEST LONDON AND ST GEORGE'S MENTAL HEALTH NHS TRUST,Y56,QWE,SPRINGFIELD HOSPITAL,61 GLENBURNIE ROAD,,LONDON,,SW17 7DJ,19950401,,,,,,,,,,,0,,H
RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,Y63,QHM,QUEEN ELIZABETH HOSPITAL,SHERIFF HILL,,GATESHEAD,,NE9 6SX,19980401,,,,,,,,,,,0,,A
RR8,LEEDS TEACHING HOSPITALS NHS TRUST,Y63,QWO,ST. JAMES'S UNIVERSITY HOSPITAL,BECKETT STREET,,LEEDS,,LS9 7TF,19980401,,,,,,,,,,,0,,D
RRE,MIDLANDS PARTNERSHIP NHS FOUNDATION TRUST,Y60,QNC,TRUST HEADQUARTERS,ST GEORGES HOSPITAL,CORPORATION STREET,STAFFORD,STAFFORDSHIRE,ST16 3SR,20010401,,,,,,,,,,,0,,F
